library,nbAssert,assertType
json-simple,120,EQUIVALENT
json-simple,6,ERROR_HANDLING
json-simple,19,NOT_COVERED_FEATURE
json-simple,3,ORDER
json-simple,43,ORIGINAL
json-simple,5,UNICODE
json,4,ARGO_SILENT
json,2,CAST
json,3,EQUIVALENT
json,82,ERROR_HANDLING
json,538,NON_COVERED_FEATURE
json,5,NULL
json,1,Number
json,43,NUMBER
json,394,ORIGINAL
json,18,PLACEBO
json,6,SILENT
gson,7,EQUIVALENT
gson,2,ERROR_HANDLING
gson,355,ORIGINAL
gson,1853,PLACEBO
jackson-databind,22,EQUIVALENT
jackson-databind,3,ERROR_HANDLING
jackson-databind,897,ORIGINAL
jackson-databind,7821,PLACEBO
